sets,artist,venue,month,day,year,song_num
Dance Again,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Jul,27,2019,18
On the Floor,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Jul,27,2019,19
Let's Get Loud,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Jul,27,2019,20
Medicine,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,2
Get Right,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,3
Dinero,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,4
I'm Real,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,5
Ain't It Funny,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,6
Jenny From the Block,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,7
If You Had My Love,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,8
Girls,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,9
Booty,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,10
Gravity,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,11
Si una vez,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,12
Limitless / Titanium,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,13
Ain't Your Mama,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,14
All I Have,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,15
Te boté,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,16
Te gusté,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,17
El anillo,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,18
Waiting for Tonight,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,19
Dance Again,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,20
On the Floor,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,21
Let's Get Loud,Jennifer Lopez,"Amway Center, Orlando, FL, USA",Jul,23,2019,22
Medicine,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,2
Get Right,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,3
Dinero,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,4
I'm Real,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,5
Ain't It Funny,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,6
Jenny From the Block,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,7
If You Had My Love,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,8
Girls,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,9
Booty,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,10
Gravity,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,11
Si una vez,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,12
Limitless,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,13
Ain't Your Mama,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,14
All I Have,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,15
Te boté,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,16
Te gusté,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,17
El anillo,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,18
Waiting for Tonight,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,19
Dance Again,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,20
On the Floor,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,21
Let's Get Loud,Jennifer Lopez,"Wells Fargo Center, Philadelphia, PA, USA",Jul,20,2019,22
Medicine,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,2
Get Right,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,3
Dinero,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,4
I'm Real,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,5
Ain't It Funny,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,6
Jenny From the Block,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,7
If You Had My Love,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,8
Girls,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,9
Booty,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,10
Gravity,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,11
Si una vez,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,12
Limitless / Titanium,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,13
Ain't Your Mama,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,14
All I Have,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,15
Te boté,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,16
Te gusté,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,17
El anillo,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,18
Goin' In,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,19
Waiting for Tonight,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,20
Dance Again,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,21
On the Floor,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,22
Let's Get Loud,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,23
Live It Up,Jennifer Lopez,"Prudential Center, Newark, NJ, USA",Jul,19,2019,24
Medicine,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,2
Get Right,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,3
Dinero,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,4
I'm Real,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,5
Ain't It Funny,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,6
Jenny From the Block,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,7
If You Had My Love,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,8
Girls,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,9
Booty,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,10
Gravity,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,11
Limitless / Titanium,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,12
Ain't Your Mama,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,13
Te boté,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,14
Te gusté,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,15
